Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Paul, Chris",PG,37,"$8,200",hou,min,away, 111-121,35:10,   16pt 5rb 8as 1st 2trey 4-13fg 6-7ft,16,5,8,1,0,0,2
"Sexton, Collin",PG,36.7,"$5,500",cle,bkn,home, 139-148,45:09,   24pt 6rb 5as 2to 2trey 10-22fg 2-4ft,24,6,5,0,0,2,2
"Crawford, Jamal",SG,36.6,"$3,500",pho,lac,away, 107-134,16:19,   17pt 3rb 6as 2st 1bl 2to 3trey 6-8fg 2-2ft,17,3,6,2,1,2,3
"Hield, Buddy",SG,35.5,"$6,400",sac,den,away, 118-120,33:34,   25pt 5rb 3as 1st 3to 2trey 9-23fg 5-5ft,25,5,3,1,0,3,2
"Simmons, Ben",PG,34.3,"$8,800",phi,nyk,away, 126-111,33:43,   18pt 4rb 7as 1st 1bl 5to 5-7fg 8-14ft,18,4,7,1,1,5,0
"LeVert, Caris",SG,33.9,"$5,200",bkn,cle,away, 148-139,30:30,   12pt 7rb 9as 1bl 3to 2trey 5-14fg,12,7,9,0,1,3,2
"Okogie, Josh",SG,33.6,"$4,500",min,hou,home, 121-111,32:19,   16pt 3rb 4as 2st 1bl 1to 2trey 7-15fg 0-2ft,16,3,4,2,1,1,2
"Waiters, Dion",SG,31.3,"$5,200",mia,dal,away, 112-101,30:47,   20pt 4rb 3as 1st 1to 3trey 7-13fg 3-3ft,20,4,3,1,0,1,3
"Wright, Delon",SG,30.9,"$4,600",mem,chi,away, 110-122,26:15,   12pt 2rb 5as 2st 1bl 2trey 4-6fg 2-2ft,12,2,5,2,1,0,2
"Fox, De'Aaron",PG,30.8,"$7,500",sac,den,away, 118-120,31:39,   15pt 4rb 10as 4to 1trey 6-11fg 2-4ft,15,4,10,0,0,4,1
"Gordon, Eric",SG,30.6,"$5,000",hou,min,away, 111-121,36:06,   13pt 3rb 6as 1st 1bl 1to 3trey 5-13fg,13,3,6,1,1,1,3
"Brogdon, Malcolm",SG,30.5,"$5,800",mil,ind,away, 106-97,30:13,   17pt 5rb 3as 1st 1trey 6-11fg 4-5ft,17,5,3,1,0,0,1
"Brown, Jaylen",SG,30.4,"$5,200",bos,det,home, 118-110,29:56,   17pt 7rb 2st 1to 1trey 8-15fg,17,7,0,2,0,1,1
"Smart, Marcus",SG,30.1,"$5,400",bos,det,home, 118-110,31:33,   16pt 3rb 5as 2st 1bl 6to 4trey 6-11fg,16,3,5,2,1,6,4
"Dellavedova, Matthew",PG,30.1,"$3,700",cle,bkn,home, 139-148,40:02,   3pt 3rb 13as 1st 1bl 2to 1-6fg 1-2ft,3,3,13,1,1,2,0
"Collison, Darren",PG,29.7,"$6,500",ind,mil,home, 97-106,29:38,   14pt 6rb 7as 2to 2trey 5-11fg 2-2ft,14,6,7,0,0,2,2
"Napier, Shabazz",PG,29.1,"$5,100",bkn,cle,away, 148-139,22:25,   10pt 3rb 7as 1st 1bl 1to 2trey 4-11fg,10,3,7,1,1,1,2
"Beasley, Malik",SG,28.8,"$5,400",den,sac,home, 120-118,30:43,   21pt 4rb 1st 2trey 8-18fg 3-3ft,21,4,0,1,0,0,2
"LaVine, Zach",SG,28.7,"$8,000",chi,mem,home, 122-110,34:07,   15pt 6rb 7as 4to 1trey 5-10fg 4-4ft,15,6,7,0,0,4,1
"Middleton, Khris",SG,28.7,"$6,400",mil,ind,away, 106-97,33:30,   15pt 6rb 5as 1to 2trey 5-16fg 3-5ft,15,6,5,0,0,1,2
"Booker, Devin",SG,27.7,"$8,400",pho,lac,away, 107-134,32:48,   10pt 6rb 5as 1st 1bl 3to 2-10fg 6-6ft,10,6,5,1,1,3,0
"Arcidiacono, Ryan",PG,27.7,"$3,500",chi,mem,home, 122-110,33:33,   2pt 6rb 11as 1st 1to 1-2fg,2,6,11,1,0,1,0
