Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Trent Jr., Gary",SG,0,"$3,500",por,okc,away, 114-123,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Barea, Jose",PG,0,"$3,500",dal,lac,home, 106-98,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Teague, Jeff",PG,0,"$6,300",min,pho,away, 118-91,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Jones, Tyus",PG,0,"$4,300",min,pho,away, 118-91,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"George, Paul",SF,66.6,"$10,400",okc,por,home, 123-114,37:55,   36pt 8rb 4as 5st 1bl 3to 3trey 10-21fg 13-15ft,36,8,4,5,1,3,3,10,21,13,15
"Jackson, Josh",PF,51.5,"$4,700",pho,min,home, 91-118,31:29,   27pt 10rb 3as 3bl 1to 2trey 10-18fg 5-9ft,27,10,3,0,3,1,2,10,18,5,9
"Bagley, Marvin",PF,43.7,"$5,600",sac,tor,away, 105-120,37:48,   22pt 11rb 1as 1st 2bl 2to 10-20fg 2-2ft,22,11,1,1,2,2,0,10,20,2,2
"Harris, Tobias",PF,31.4,"$8,100",lac,dal,away, 98-106,34:23,   9pt 7rb 4as 1st 2bl 1to 1trey 1-9fg 6-6ft,9,7,4,1,2,1,1,1,9,6,6
"Siakam, Pascal",PF,28.3,"$6,900",tor,sac,home, 120-105,31:21,   18pt 4rb 1as 1st 1bl 2to 1trey 8-14fg 1-1ft,18,4,1,1,1,2,1,8,14,1,1
"Ibaka, Serge",PF,27.5,"$6,700",tor,sac,home, 120-105,25:18,   15pt 10rb 1as 1to 5-13fg 5-6ft,15,10,1,0,0,1,0,5,13,5,6
"Bender, Dragan",PF,27,"$3,800",pho,min,home, 91-118,30:00,   13pt 10rb 2as 1to 1trey 5-10fg 2-5ft,13,10,2,0,0,1,1,5,10,2,5
"Harrell, Montrezl",PF,26.1,"$7,800",lac,dal,away, 98-106,31:19,   11pt 8rb 3as 1bl 2to 4-7fg 3-4ft,11,8,3,0,1,2,0,4,7,3,4
"Grant, Jerami",PF,26,"$6,400",okc,por,home, 123-114,33:10,   11pt 5rb 1st 2bl 2trey 4-8fg 1-2ft,11,5,0,1,2,0,2,4,8,1,2
"Oubre, Kelly",SF,25.6,"$6,100",pho,min,home, 91-118,26:20,   13pt 3rb 1st 3bl 3to 2trey 5-10fg 1-2ft,13,3,0,1,3,3,2,5,10,1,2
"Aminu, Al-Farouq",PF,25.6,"$5,900",por,okc,away, 114-123,30:40,   4pt 13rb 4as 1-7fg 2-4ft,4,13,4,0,0,0,0,1,7,2,4
"Barnes, Harrison",SF,23.9,"$5,800",dal,lac,home, 106-98,33:33,   20pt 2rb 1as 3trey 7-14fg 3-4ft,20,2,1,0,0,0,3,7,14,3,4
"Giles, Harry",PF,23.8,"$3,700",sac,tor,away, 105-120,22:40,   11pt 4rb 2as 2bl 1to 4-8fg 3-6ft,11,4,2,0,2,1,0,4,8,3,6
"Miles, C.J.",SF,21.9,"$3,700",tor,sac,home, 120-105,15:36,   15pt 2rb 1as 1bl 4trey 5-7fg 1-2ft,15,2,1,0,1,0,4,5,7,1,2
"Bridges, Mikal",SF,19,"$4,000",pho,min,home, 91-118,28:51,   7pt 4as 1st 1bl 1trey 3-11fg,7,0,4,1,1,0,1,3,11,0,0
"Gibson, Taj",PF,18.9,"$5,300",min,pho,away, 118-91,24:30,   13pt 7rb 1as 4to 4-7fg 5-7ft,13,7,1,0,0,4,0,4,7,5,7
"Saric, Dario",PF,14.3,"$3,900",min,pho,away, 118-91,16:54,   5pt 4rb 3as 1trey 2-9fg,5,4,3,0,0,0,1,2,9,0,0
"Finney-Smith, Dorian",SF,13.3,"$3,900",dal,lac,home, 106-98,21:01,   5pt 4rb 1as 1st 1to 1trey 1-1fg 2-2ft,5,4,1,1,0,1,1,1,1,2,2
"Powell, Norman",SF,12.7,"$3,900",tor,sac,home, 120-105,20:48,   11pt 1rb 1as 1to 1trey 4-7fg 2-5ft,11,1,1,0,0,1,1,4,7,2,5
"Motley, Johnathan",PF,12.6,"$3,500",lac,dal,away, 98-106,15:14,   7pt 3rb 1st 1to 2-5fg 3-4ft,7,3,0,1,0,1,0,2,5,3,4
"Nowitzki, Dirk",PF,12.2,"$3,500",dal,lac,home, 106-98,10:22,   8pt 1rb 1bl 2trey 3-6fg,8,1,0,0,1,0,2,3,6,0,0
"Collins, Zach",PF,11.7,"$3,800",por,okc,away, 114-123,12:07,   4pt 6rb 1as 1to 2-3fg,4,6,1,0,0,1,0,2,3,0,0
"Boucher, Chris",PF,11.6,"$3,500",tor,sac,home, 120-105,11:39,   8pt 3rb 2-4fg 4-4ft,8,3,0,0,0,0,0,2,4,4,4
"Tolliver, Anthony",PF,10.5,"$3,500",min,pho,away, 118-91,19:49,   3pt 5rb 1as 1trey 1-4fg,3,5,1,0,0,0,1,1,4,0,0
