Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Bembry, DeAndre",SG,14,"$3,500",atl,chi,away, 81-116,22:17,   5pt 5rb 2st 3to 1trey 2-5fg,5,5,0,2,0,3,1
"Temple, Garrett",SG,13.9,"$4,300",bkn,hou,away, 98-108,27:46,   2pt 2rb 3as 1st 1bl 1to 1-9fg,2,2,3,1,1,1,0
"Korkmaz, Furkan",SG,13.8,"$3,800",phi,mia,away, 116-117,18:58,   5pt 4rb 2as 1st 2to 1trey 2-8fg,5,4,2,1,0,2,1
"Korver, Kyle",SG,13.6,"$3,500",mil,orl,home, 111-100,22:52,   8pt 3rb 2as 1to 2trey 3-4fg,8,3,2,0,0,1,2
"Mudiay, Emmanuel",PG,13.5,"$3,900",uta,lac,away, 120-107,15:43,   8pt 5rb 1as 2to 3-5fg 2-2ft,8,5,1,0,0,2,0
"Dellavedova, Matthew",PG,13.1,"$3,500",cle,min,away, 94-88,12:59,   6pt 3rb 1as 1st 1to 2-5fg 2-2ft,6,3,1,1,0,1,0
"White, Derrick",PG,12.9,"$4,400",sas,det,home, 136-109,20:04,   4pt 2rb 5as 1to 1trey 1-6fg 1-2ft,4,2,5,0,0,1,1
"Crabbe, Allen",SG,12.9,"$3,500",atl,chi,away, 81-116,23:21,   5pt 2rb 3as 1st 2to 1trey 2-8fg,5,2,3,1,0,2,1
"Exum, Dante",PG,12.6,"$3,800",cle,min,away, 94-88,16:28,   8pt 3rb 1st 2to 3-7fg 2-2ft,8,3,0,1,0,2,0
"James, Justin",SG,12.4,"$3,500",sac,pho,home, 110-112,8:45,   4pt 2rb 1st 1bl 2-5fg,4,2,0,1,1,0,0
"Frazier, Tim",PG,12.2,"$4,100",det,sas,away, 109-136,22:17,   7pt 1rb 4as 2to 3-6fg 1-2ft,7,1,4,0,0,2,0
"Ferrell, Yogi",PG,11.2,"$3,500",sac,pho,home, 110-112,22:18,   5pt 1rb 4as 1to 1trey 2-7fg,5,1,4,0,0,1,1
"Anderson, Kyle",SG,10.8,"$3,500",mem,den,away, 110-119,12:42,   3pt 4rb 2as 1-1fg 1-2ft,3,4,2,0,0,0,0
