Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Lyles, Trey",PF,22.5,"$4,500",den,bkn,away, 130-135,22:17,   15pt 5rb 1as 1st 3to 2trey 5-10fg 3-4ft,15,5,1,1,0,3,2,5,10,3,4
"Bertans, Davis",SF,22.4,"$4,300",sas,gsw,away, 102-141,22:40,   12pt 2rb 2as 2bl 1to 2trey 3-7fg 4-4ft,12,2,2,0,2,1,2,3,7,4,4
"Ilyasova, Ersan",PF,22.2,"$3,500",mil,was,home, 148-129,17:44,   12pt 1rb 2st 1bl 2trey 4-4fg 2-2ft,12,1,0,2,1,0,2,4,4,2,2
"Green, Draymond",PF,22,"$7,500",gsw,sas,home, 141-102,24:26,   7pt 5rb 4as 2st 3to 1trey 3-6fg,7,5,4,2,0,3,1,3,6,0,0
"Bridges, Mikal",SF,21.6,"$5,400",pho,uta,away, 88-116,39:40,   9pt 3rb 2as 2st 1bl 3to 1trey 4-7fg,9,3,2,2,1,3,1,4,7,0,0
"Crowder, Jae",SF,21.4,"$4,800",uta,pho,home, 116-88,19:59,   11pt 7rb 1st 1to 2trey 3-7fg 3-6ft,11,7,0,1,0,1,2,3,7,3,6
"Davis, Ed",PF,21.4,"$4,400",bkn,den,home, 135-130,21:29,   5pt 7rb 3bl 1to 1-2fg 3-4ft,5,7,0,0,3,1,0,1,2,3,4
"Miller, Darius",SF,21.2,"$4,800",nor,chi,away, 125-120,29:59,   12pt 1rb 4as 1bl 1to 4trey 4-7fg,12,1,4,0,1,1,4,4,7,0,0
"Kleber, Maxi",PF,20.4,"$5,200",dal,cha,home, 99-93,28:40,   11pt 7rb 1st 2to 1trey 5-7fg,11,7,0,1,0,2,1,5,7,0,0
"Gay, Rudy",SF,20.1,"$6,000",sas,gsw,away, 102-141,19:34,   15pt 3rb 3as 3to 1trey 6-12fg 2-2ft,15,3,3,0,0,3,1,6,12,2,2
"Hollis-Jefferson, Rondae",PF,18.9,"$4,400",bkn,den,home, 135-130,19:31,   15pt 2rb 1as 6-10fg 3-5ft,15,2,1,0,0,0,0,6,10,3,5
"Ennis, James",SF,18.7,"$4,100",hou,sac,away, 127-101,28:15,   4pt 6rb 1as 1st 1bl 1-5fg 2-2ft,4,6,1,1,1,0,0,1,5,2,2
"Wilson, D.J.",PF,17.9,"$3,500",mil,was,home, 148-129,21:52,   4pt 7rb 3as 1st 2to 2-6fg,4,7,3,1,0,2,0,2,6,0,0
"Cunningham, Dante",SF,17.5,"$3,500",sas,gsw,away, 102-141,30:50,   11pt 5rb 1as 1to 1trey 4-5fg 2-2ft,11,5,1,0,0,1,1,4,5,2,2
"Williams, Marvin",PF,15.5,"$5,500",cha,dal,away, 93-99,26:04,   5pt 5rb 1as 1st 1trey 2-7fg,5,5,1,1,0,0,1,2,7,0,0
"Vanderbilt, Jarred",SF,14.4,"$3,500",den,bkn,away, 130-135,7:59,   0pt 7rb 1st 1bl 0-3fg,0,7,0,1,1,0,0,0,3,0,0
"Eubanks, Drew",PF,14.2,"$3,500",sas,gsw,away, 102-141,21:08,   9pt 1rb 2bl 2to 3-3fg 3-3ft,9,1,0,0,2,2,0,3,3,3,3
"Bridges, Miles",SF,14.2,"$3,700",cha,dal,away, 93-99,21:09,   4pt 1rb 2st 1bl 2-5fg 0-1ft,4,1,0,2,1,0,0,2,5,0,1
