Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Dudley, Jared",SF,0,"$3,500",lal,chi,away, 118-112,1:05,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Frazier, Melvin",SF,0,"$3,500",orl,okc,away, 94-102,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Cook, Tyler",PF,0,"$3,500",cle,bos,home, 113-119,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Iwundu, Wes",SF,0,"$3,500",orl,okc,away, 94-102,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Gafford, Daniel",PF,0,"$3,600",chi,lal,home, 112-118,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Collins, John",PF,0,"$8,300",atl,sas,home, 108-100,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Kidd-Gilchrist, Michael",SF,0,"$3,500",cha,ind,home, 122-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Wade, Dean",PF,0,"$3,500",cle,bos,home, 113-119,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Carroll, DeMarre",SF,0,"$3,700",sas,atl,away, 100-108,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Haslem, Udonis",PF,0,"$3,500",mia,den,away, 89-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Alize",PF,0,"$3,500",ind,cha,away, 120-122,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Nader, Abdel",SF,0,"$3,500",okc,orl,home, 102-94,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Birch, Khem",PF,0,"$3,500",orl,okc,away, 94-102,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Martin, Caleb",SF,0,"$3,500",cha,ind,home, 122-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Antetokounmpo, Kostas",PF,0,"$3,500",lal,chi,away, 118-112,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Keldon",SF,0,"$3,500",sas,atl,away, 100-108,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Franks, Robert",SF,0,"$3,500",cha,ind,home, 122-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"McDaniels, Jalen",PF,0,"$3,500",cha,ind,home, 122-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Batum, Nicolas",SF,0,"$3,500",cha,ind,home, 122-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Parsons, Chandler",SF,0,"$3,500",atl,sas,home, 108-100,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Henson, John",PF,0,"$3,600",cle,bos,home, 113-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Sabonis, Domantas",PF,0,"$8,900",ind,cha,away, 120-122,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Samanic, Luka",PF,0,"$3,500",sas,atl,away, 100-108,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Valentine, Denzel",SF,0,"$3,600",chi,lal,home, 112-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Strus, Max",SF,0,"$3,500",chi,lal,home, 112-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Porter, Kevin",SF,0,"$3,500",cle,bos,home, 113-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Jefferson, Amile",PF,0,"$3,500",orl,okc,away, 94-102,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Cancar, Vlatko",SF,0,"$3,500",den,mia,home, 109-89,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Okpala, KZ",SF,0,"$3,500",mia,den,away, 89-109,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Vanderbilt, Jarred",SF,-1,"$3,500",den,mia,home, 109-89,1:45,   0pt 1to,0,0,0,0,0,1,0,0,0,0,0
"Thompson, Tristan",C,42.6,"$8,400",cle,bos,home, 113-119,37:04,   19pt 13rb 4as 1bl 1to 7-15fg 5-6ft,19,13,4,0,1,1,0,7,15,5,6
"Bitadze, Goga",C,34.2,"$5,300",ind,cha,away, 120-122,31:48,   6pt 11rb 4as 4bl 3to 3-7fg,6,11,4,0,4,3,0,3,7,0,0
"Olynyk, Kelly",C,31.9,"$4,400",mia,den,away, 89-109,23:47,   13pt 7rb 1as 2st 1bl 4trey 4-8fg 1-2ft,13,7,1,2,1,0,4,4,8,1,2
"Vucevic, Nikola",C,31.2,"$8,600",orl,okc,away, 94-102,33:39,   10pt 11rb 2as 2bl 1to 4-15fg 2-2ft,10,11,2,0,2,1,0,4,15,2,2
"Adams, Steven",C,30.7,"$6,300",okc,orl,home, 102-94,25:46,   11pt 11rb 3as 1bl 1to 5-7fg 1-2ft,11,11,3,0,1,1,0,5,7,1,2
"Biyombo, Bismack",C,30.2,"$3,600",cha,ind,home, 122-120,17:00,   15pt 6rb 1st 2bl 1to 6-7fg 3-8ft,15,6,0,1,2,1,0,6,7,3,8
"McGee, JaVale",C,29.7,"$3,800",lal,chi,away, 118-112,16:49,   10pt 6rb 3as 1st 2bl 1to 4-4fg 2-3ft,10,6,3,1,2,1,0,4,4,2,3
"Plumlee, Mason",C,28.9,"$3,900",den,mia,home, 109-89,23:29,   10pt 7rb 3as 2st 5-9fg,10,7,3,2,0,0,0,5,9,0,0
"Carter Jr., Wendell",C,25.2,"$7,000",chi,lal,home, 112-118,31:17,   11pt 11rb 1bl 2to 4-9fg 3-6ft,11,11,0,0,1,2,0,4,9,3,6
