Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Selden, Wayne",SG,26.3,"$3,600",chi,v was, 125-134,25:15,   17pt 4rb 1as 1st 1trey 5-13fg 6-6ft
"Mills, Patty",PG,25.3,"$4,400",sas,@ uta, 105-125,23:42,   14pt 4rb 5as 1to 2trey 5-9fg 2-3ft
"Ross, Terrence",SG,24.3,"$5,700",orl,@ mil, 103-83,24:58,   15pt 4rb 1as 1bl 3trey 6-12fg
"Huerter, Kevin",SG,24.3,"$5,400",atl,v cha, 120-129,34:20,   17pt 4rb 1as 1st 2to 3trey 7-9fg
"Ferguson, Terrance",SG,24.3,"$3,800",okc,@ hou, 117-112,34:43,   15pt 4rb 3as 3trey 6-9fg
"Randle, Chasson",SG,24.1,"$3,500",was,@ chi, 134-125,25:26,   20pt 3rb 1as 1to 4trey 8-10fg
"Sexton, Collin",PG,24,"$5,200",cle,@ ind, 90-105,29:41,   16pt 5rb 4as 4to 3trey 6-14fg 1-1ft
"Brown, Jaylen",SG,24,"$5,200",bos,v lac, 112-123,24:03,   12pt 5rb 2as 1st 4-14fg 4-6ft
"Holiday, Justin",SG,23.5,"$5,600",mem,v nor, 99-90,31:03,   15pt 5rb 3as 2to 3trey 6-10fg
"Fournier, Evan",SG,22.5,"$5,800",orl,@ mil, 103-83,32:02,   7pt 5rb 5as 1st 1to 1trey 3-13fg
"Brogdon, Malcolm",SG,21.8,"$6,300",mil,v orl, 83-103,23:33,   14pt 4rb 2as 1bl 3to 4-18fg 6-6ft
"Green, Danny",SG,21.8,"$4,200",tor,@ nyk, 104-99,29:38,   14pt 4rb 1bl 4trey 5-9fg
"Briscoe, Isaiah",PG,21.1,"$3,500",orl,@ mil, 103-83,24:30,   9pt 3rb 7as 2to 1trey 4-5fg
"Belinelli, Marco",SG,19.8,"$4,100",sas,@ uta, 105-125,27:36,   11pt 4rb 2as 1st 2to 3-10fg 5-5ft
"Bazemore, Kent",SG,18.7,"$4,100",atl,v cha, 120-129,19:54,   13pt 1rb 1as 1st 1bl 3to 1trey 5-12fg 2-3ft
"Irving, Kyrie",PG,18.2,"$10,200",bos,v lac, 112-123,14:17,   14pt 1rb 2as 1trey 4-7fg 5-5ft
"Augustin, D.J.",PG,17.9,"$4,700",orl,@ mil, 103-83,20:24,   9pt 2rb 5as 1to 4-7fg 1-1ft
"Smart, Marcus",SG,17.1,"$5,400",bos,v lac, 112-123,27:10,   2pt 3rb 5as 1st 1bl 2to 1-5fg
"Snell, Tony",SG,16.5,"$3,500",mil,v orl, 83-103,19:49,   6pt 1as 1st 2bl 3-5fg
"Forbes, Bryn",PG,16.4,"$4,200",sas,@ uta, 105-125,31:01,   12pt 2rb 2as 1to 2trey 5-12fg
"Schroder, Dennis",SG,16,"$5,200",okc,@ hou, 117-112,22:20,   17pt 1to 1trey 6-13fg 4-5ft
"Luwawu, Timothe",SG,14.7,"$3,500",chi,v was, 125-134,17:00,   5pt 6rb 1as 1bl 2to 1trey 2-4fg
"Temple, Garrett",SG,13.7,"$3,900",lac,@ bos, 123-112,19:40,   11pt 1rb 1as 2trey 4-8fg 1-2ft
"Wright, Delon",SG,13.2,"$4,300",mem,v nor, 99-90,23:14,   7pt 1rb 2as 1st 1to 3-7fg 1-2ft
"Dellavedova, Matthew",PG,13.1,"$3,500",cle,@ ind, 90-105,22:37,   5pt 3rb 5as 3to 1trey 2-4fg 0-2ft
"Neto, Raul",PG,12.9,"$3,500",uta,v sas, 125-105,13:32,   4pt 2rb 5as 1to 2-4fg
"Shumpert, Iman",SG,12.8,"$4,500",hou,v okc, 112-117,24:09,   3pt 4rb 1st 1bl 1to 1trey 1-5fg
"Rivers, Austin",SG,12.7,"$3,800",hou,v okc, 112-117,15:39,   10pt 1rb 1as 3trey 3-6fg 1-2ft
"Jackson, Frank",PG,12.6,"$3,800",nor,@ mem, 90-99,26:17,   6pt 3rb 1st 3-12fg
"McCaw, Patrick",SG,12.4,"$3,500",tor,@ nyk, 104-99,12:39,   4pt 2rb 1st 1bl 1-1fg 2-2ft
